+-----+-----------------------------------------------------------------------------------------------------------------------------+
|Brand|objs                                                                                                                         |
+-----+-----------------------------------------------------------------------------------------------------------------------------+
|169  |[{Twisted Shotz Multi Pack, 25.0}, {Twisted Shotz Multi Pack, 25}]                                                           |
|173  |[{Hornitos Reposado VAP, 750mL}, {Hornitos Reposado Glass Pack, 750mL}]                                                      |
|178  |[{Wild Turkey Russell's RSV, 750mL}, {W Turkey Russell's RSV 10 Yr, 750mL}]                                                  |
|184  |[{Hornitos Plata Glass Pack, 750mL}, {Hornitos Plata VAP, 750mL}]                                                            |
|311  |[{The Glenlivet 12 Yr Gift Pk, 750mL}, {The Glenlivet w/2 50mLs Pak, 750mL}]                                                 |
|350  |[{Courvoisier VS VAP, 750mL}, {Courvoisier VS Gift Pak, 750mL}, {Courvoisier VS 2 Glass Pack, 750mL}]                        |
|381  |[{Baileys Irish Cream w/2 Mugs, 750mL}, {Baileys Irish Cream w/4 Glss, 750mL}]                                               |
|652  |[{Frangelico Gift Pack 2 Glass, 750mL}, {Frangelico Gift Pack-Candle, 750mL}]                                                |
|1001 |[{Baileys 50mL 4 Pack, 50mL 4 Pk}, {Bailey's 50mL 4 Pack, 50mL 4 Pk}]                                                        |
|1003 |[{Crown Royal VAP Glass+Coastr, 750mL}, {Crown Royal +2 Reusable Cups, 750mL}]                                               |
|1004 |[{Jim Beam w/2 Rocks Glasses, 750mL}, {Jim Beam Black w/2 Glasses, 750mL}]                                                   |
|1020 |[{B & B Dom Glass Pack, 750mL}, {B & B Dom VAP, 750mL}]                                                                      |
|1024 |[{Hennessy VS +VSOP 50mL, 750mL}, {Hennessy VS + VSOP 50mL, 750mL}, {Hennessey VS +VSOP 50mL, 750mL}]                        |
|1064 |[{Jack Daniels Honey VAP, 750mL}, {Jack Daniels Honey + Glass, 750mL}]                                                       |
|1065 |[{DiSaronno Cavalli Collection, 50mL 3 Pk}, {DiSaronno 3/50mls Pack, 50mL 3 Pk}]                                             |
|1070 |[{Three Olives Vodka w/3 50mls, 750mL + 3/}, {Three Olives Vodka w3 50mls, 750mL + 3/}]                                      |
|1081 |[{Chivas Regal w/2 50mLs, 750mL + 2/}, {Chivas Regal with2 50mLs, 750mL + 2/}]                                               |
|1084 |[{Cointreau Liqueur w/ Carafe, 750mL}, {Cointreau Liqueur with Carafe, 750mL}]                                               |
|1095 |[{Southern Comfort w/Shaker, 750mL}, {Southern Comfort wShaker, 750mL}]                                                      |
|1099 |[{Angel's Envy NH Blend Bourbn, 750mL}, {Angels Envy NH Blend Bourbn, 750mL}]                                                |
|1136 |[{Malibu 50ml Sampler Pack, 50mL 5 Pk}, {Malibu 50ml Sampler Pack, 250mL}]                                                   |
|1188 |[{Stolichnaya 802 Glass Pack, 750mL}, {Stolichnaya 80/2 Glass Pack, 750mL}]                                                  |
